evalnum,startTime,endTime,cost,x,key,status,elapsed_time
0,1564767145,1564767146,4789.995,"['a', 'a', 'a', 'a']",000_00000.dat,0,1.1681618690490723
1,1564767147,1564767148,52948.02,"['b', 'c', 'a', 'd']",000_00001.dat,0,2.4815850257873535
2,1564767148,1564767149,50014.972,"['b', 'a', 'c', 'd']",000_00002.dat,0,3.7399938106536865
3,1564767149,1564767150,48746.964,"['b', 'c', 'a', 'd']",000_00003.dat,0,4.887863874435425
4,1564767150,1564767151,7307.797,"['d', 'a', 'a', 'd']",000_00004.dat,0,5.704979658126831
5,1564767151,1564767152,51223.942,"['b', 'c', 'b', 'c']",000_00005.dat,0,7.043656826019287
6,1564767152,1564767165,1145229.707,"['d', 'b', 'c', 'c']",000_00006.dat,0,19.27668333053589
7,1564767165,1564767166,40963.772,"['b', 'b', 'b', 'a']",000_00007.dat,0,20.394947290420532
8,1564767166,1564767167,58598.456,"['b', 'c', 'c', 'b']",000_00008.dat,0,21.642480611801147
9,1564767167,1564767168,6598.218,"['a', 'a', 'a', 'd']",000_00009.dat,0,22.84794306755066
10,1564767169,1564767170,6795.045,"['d', 'a', 'c', 'b']",000_00010.dat,0,24.689308166503906
11,1564767171,1564767172,7309.507,"['a', 'a', 'a', 'd']",000_00011.dat,0,26.4870707988739
12,1564767173,1564767174,47273.378,"['b', 'a', 'a', 'd']",000_00012.dat,0,28.694328784942627
13,1564767175,1564767176,42698.47,"['b', 'a', 'a', 'd']",000_00013.dat,0,30.933724880218506
14,1564767177,1564767178,7279.857,"['a', 'a', 'a', 'd']",000_00014.dat,0,33.00305914878845
15,1564767179,1564767180,7312.748,"['a', 'a', 'a', 'd']",000_00015.dat,0,34.88030982017517
16,1564767181,1564767182,7301.907,"['a', 'a', 'a', 'd']",000_00016.dat,0,36.87950921058655
17,1564767183,1564767184,7284.214,"['a', 'a', 'a', 'd']",000_00017.dat,0,38.850194215774536
18,1564767185,1564767186,7507.25,"['a', 'a', 'a', 'd']",000_00018.dat,0,40.753222703933716
19,1564767187,1564767188,7474.596,"['a', 'a', 'a', 'd']",000_00019.dat,0,42.825427770614624
20,1564767189,1564767190,7477.181,"['a', 'a', 'a', 'd']",000_00020.dat,0,45.01547384262085
21,1564767191,1564767192,7300.945,"['a', 'a', 'a', 'd']",000_00021.dat,0,46.9762761592865
22,1564767193,1564767194,6621.488,"['a', 'a', 'a', 'd']",000_00022.dat,0,48.91194701194763
23,1564767195,1564767196,7299.16,"['a', 'a', 'a', 'd']",000_00023.dat,0,50.97185802459717
24,1564767197,1564767198,7483.539,"['a', 'a', 'a', 'd']",000_00024.dat,0,52.851972341537476
25,1564767199,1564767200,6399.05,"['a', 'a', 'a', 'd']",000_00025.dat,0,54.798256397247314
26,1564767201,1564767202,7506.786,"['a', 'a', 'a', 'd']",000_00026.dat,0,56.73559331893921
27,1564767203,1564767204,7455.974,"['a', 'a', 'a', 'd']",000_00027.dat,0,58.820011377334595
28,1564767205,1564767206,7621.198,"['a', 'a', 'a', 'd']",000_00028.dat,0,60.79610586166382
